"Country","Year","WCR.med.m3perMWh","WCR.min.m3perMWh","WCR.max.m3perMWh"
"Bolivia",2015,16.9501428686759,16.8215933356275,17.0931680610468
"Bosnia Herzegovina",2015,3.06067905996289,2.63794919240898,3.70659723770939
"Botswana",2015,1.47549811320755,1.00395754716981,2.33715943396226
"Brazil",2015,41.8518057347632,41.7463205113307,42.0274419612698
"Brunei",2015,0.0760399404761905,0.0574072261904762,0.0949008047619048
"Bulgaria",2015,23.679290026426,23.2531915093219,24.3314024695478
"Cambodia",2015,30.9418964798726,30.6167926954742,31.4616256947919
"Cameroon",2015,319.58872153278,319.463616138589,319.805418225852
"Canada",2015,14.5309036640856,14.3797083546024,14.683427187779
"Chile",2015,2.06847977266388,1.80831947858135,2.51197043259199
"China",2015,1.99932433392889,1.54784639109164,2.71323311475939
"Colombia",2015,4.11274976884077,4.00656583241859,4.27345289101619
"Congo",2015,165.138002732808,165.047859373196,165.248043242207
"Dem. Rep. of the Congo",2015,493.07896318749,493.077560529163,493.081645595622
"Costa Rica",2015,47.5405351847364,46.5636593375296,47.687194806453
"Côte d'Ivoire",2015,0.469290414418551,0.321501136494088,0.639399977040524
"Croatia",2015,3.55930405936683,3.38572718486012,3.81690184942208
"Cuba",2015,1.74854255152208,1.39319487309148,2.39613236323344
"Curaçao",2015,1.32647498780488,1.03954993902439,1.86629970731707
"Cyprus",2015,1.77733775523705,1.36669438588754,2.48638246527012
"Czechia",2015,8.19532902927216,7.69999948950675,8.95690073217589
"Denmark",2015,0.802084788944494,0.568595485011405,1.18206589905716
"Dominican Republic",2015,4.55839795536183,4.23423463002567,5.12540714522959
"Ecuador",2015,31.7757924154301,31.6141789682756,32.0615889276252
"Egypt",2015,38.2861539965785,38.0986904950757,38.5448706453548
"El Salvador",2015,11.4957255295781,9.34229035946464,12.1316065569296
"Eritrea",2015,1.71608888888889,1.35671313131313,2.42091111111111
"Estonia",2015,1.72265711530871,1.13273599009233,2.60215690180612
